#{"t_start": 1619470822.6716092, "env_id": null}
r,l,t
-0.218833,2,7325.94862
-0.044667,1,7331.684618
-0.046833,1,7337.109598
-0.600667,3,7347.390589
-0.044833,1,7352.661602
-0.0475,1,7358.196594
-0.045,1,7363.013596
-0.218,2,7370.072602
-0.2175,2,7378.100598
-1.283333,4,7390.501595
-0.218167,2,7398.124613
-0.218333,2,7405.766594
-0.045333,1,7411.073594
-0.218333,2,7419.529619
-0.046667,1,7425.455618
-0.219167,2,7433.87861
-2.3545,5,7447.943594
-0.608,3,7458.647613
-1.296,4,7472.218622
-0.045,1,7477.607596
-0.204333,2,7485.051612
-0.202333,2,7493.299623
-0.2055,2,7501.700619
-0.229833,2,7509.389622
-1.268167,4,7521.396597
-0.046,1,7527.279595
-0.218833,2,7535.283597
-0.218333,2,7543.319609
-0.6065,3,7554.393611
-0.218333,2,7562.847623
-0.215,2,7570.472596
-3.9015,6,7585.306611
-0.216,2,7592.835623
-1.299667,4,7603.818617
-0.046,1,7609.607603
-0.219667,2,7618.068599
-0.6285,3,7629.156619
-0.045,1,7634.022595
-0.045167,1,7639.788613
-0.608,3,7649.131619
-0.204333,2,7656.993609
-0.045333,1,7662.749594
-2.399,5,7675.157614
-0.204833,2,7682.979598
-0.046667,1,7688.821609
-0.204333,2,7696.824617
-0.045333,1,7702.111604
-0.5775,3,7712.97159
-0.044667,1,7718.939592
-0.217667,2,7726.243612
-0.044833,1,7731.592599
-0.047167,1,7736.586621
-0.218333,2,7745.034616
-0.218333,2,7753.538589
-0.5985,3,7764.173593
-0.046167,1,7769.487595
-1.2905,4,7782.315618
-0.047,1,7787.791603
-0.588,3,7798.560593
-0.046833,1,7803.936621
-0.605833,3,7814.570623
-0.219,2,7823.055621
-0.047333,1,7828.005599
-0.2195,2,7836.071593
-0.218333,2,7844.502598
-0.044833,1,7849.89861
-0.218833,2,7857.487594
-0.220667,2,7865.141265
-0.045167,1,7870.978369
-0.212333,2,7879.104261
-0.218833,2,7886.799261
-2.338667,5,7901.371264
-0.045333,1,7907.182283
-0.205167,2,7914.155281
-0.044833,1,7919.56127
-0.6065,3,7930.696261
-0.048167,1,7936.210261
-0.044667,1,7942.078264
-0.204333,2,7950.466009
-0.216,2,7958.528012
-0.044667,1,7964.384015
-0.045167,1,7970.200006
-0.214833,2,7978.685008
-0.044667,1,7984.562012
-0.219167,2,7992.177006
-0.219167,2,7999.354007
-1.2895,4,8011.988027
-0.580833,3,8022.541006
-1.303,4,8034.335012
-0.048167,1,8039.882007
-1.3115,4,8052.461009
-1.353,4,8063.540006
-0.219,2,8071.253013
-0.046167,1,8076.694007
-0.217667,2,8085.320007
-0.044667,1,8091.100014
-0.044667,1,8096.937005
-0.607667,3,8106.235166
-0.219833,2,8113.782162
-0.044833,1,8119.101172
-0.046,1,8125.006181
-0.2175,2,8132.985181
-1.316167,4,8145.639156
-0.046,1,8151.565175
-0.044833,1,8156.834164
-0.0455,1,8162.151156
